String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Wilson Enduro Tour 18,51,Medium,Polyester,1.21,1.21,2.4,5.5,8.5,18.99,41.7,30,39.5,58.4,21.9,,178.3,11.49,20.24,0.38,32.2,63.3,85.2,NA,NA,NA
Wilson Sensation 17,51,Medium,Nylon,1.25,1.28,7,8.5,9.4,40.18,37.1,26.7,29.5,69.7,23.2,,168,5.69,4.85,-0.02,10.6,20.7,95.8,0.119,0.431,3.6
Wilson Reaction 16,51,Medium,Nylon,1.3,1.31,7.6,8.8,10,37.64,38.1,27.9,28.7,66.4,23.1,,150.3,6.17,6.91,0.07,13.2,25.9,94.9,0.177,0.424,2.4
Wilson Ripspin 15,51,Medium,Polyester,1.35,NA,1.5,2.7,3.9,30.14,37,27.1,43,73.2,24.8,11.8,238.9,6.24,14.34,0.26,20.7,41.1,91,0.081,0.4,4.9
Wilson Sensation 16,51,Medium,Nylon,1.3,1.34,7,8.5,NA,40.31,36.9,26.3,30.6,71,23.4,,179.5,6.88,3.53,0.09,10.6,20.7,95.1,0.117,0.414,3.5
Wilson Spin Cycle 16L,51,Medium,Polyester,1.27,NA,2.4,4.2,5.2,31.53,36.4,26.4,40.1,71.7,23.7,11.8,232.6,6.5,12.69,0.22,19.4,38.3,92,0.1,0.42,4.2
Wilson Natural Gut 17,51,Medium,Gut,1.25,NA,4.8,7.3,9.1,43.44,38.2,27,15,58.4,19.7,,83.4,5.47,1.81,0.07,7.3,14.5,98,0.173,0.386,2.2
Wilson Optimus 16 (1.30),51,Medium,Nylon,1.3,NA,8.5,9.7,11.2,39.98,37.7,27.9,27.8,67.7,23.6,11.8,144.6,4.52,6.22,0.2,11,21.6,95.3,0.116,0.42,3.6
Wilson Hollow Core Pro 16,51,Medium,Nylon,1.3,1.31,7.3,9.1,10.9,34.95,38.2,27.4,29.1,63.9,21.9,,157.7,6.57,9.2,0.07,15.9,31.2,93.3,0.19,0.417,2.2
Wilson NXT 16,51,Medium,Nylon,1.3,1.32,6.1,7,8.2,40.62,36.5,26,30.4,71,23.1,,182.9,5.03,5.07,-0.02,10.1,19.9,94.1,0.117,0.453,3.9
Wilson Shock Shield 16,51,Medium,Nylon,1.33,1.32,6.4,NA,9.7,34.66,37.8,27.1,30.4,65.3,22.1,,169.7,6,10.06,0.11,16.1,31.9,94.7,0.178,0.408,2.3
Wilson NXT Tour 16,51,Medium,Nylon,1.3,1.35,5.8,7,8.2,40.31,36.3,26,31.1,71.2,23.2,,186.9,6.33,4.08,0.05,10.4,20.6,93.7,0.122,0.466,3.8
Wilson Enduro Mono 16L,51,Medium,Polyester,1.28,1.32,1.5,2.7,3.3,30.21,36.5,26,44.3,74.5,24.3,,265.7,6.92,13.59,0.24,20.7,40.9,88.4,NA,NA,NA
Wilson K-Gut 16,51,Medium,Nylon,1.32,1.34,6.4,7.3,8.5,40.97,36.5,26.1,31.3,72.3,23.6,,186.3,5.69,4.06,0.02,9.7,19.3,96.8,0.108,0.475,4.4
Wilson NXT 17,51,Medium,Nylon,1.24,1.26,6.7,8.2,9.1,39.43,37.3,26.5,29.1,68.4,22.6,,168.6,5.27,6.02,0.05,11.2,22.3,98,0.248,0.493,2
Wilson Extreme 16 Synthetic Gut,51,Medium,Nylon,1.3,1.3,7,7.9,9.1,41.01,36.3,26,31.3,72.3,23.5,,187.5,6.28,3.43,0.02,9.7,19.2,96.2,0.135,0.429,3.2
Wilson Enduro Tour 17,51,Medium,Polyester,1.25,1.25,2.4,4.8,7.6,19.56,41.1,29.4,39.7,59.3,21.8,,186.3,11.09,20.07,0.42,31.5,62.3,85.7,0.086,0.414,4.8
Wilson Stamina 16,51,Medium,Nylon,1.32,1.32,6.4,7.6,8.5,40.33,36.4,26.1,32.9,73.2,23.8,,196,6.84,3.55,0.04,10.4,20.6,95.1,0.124,0.372,3
Wilson Natural Gut 16,51,Medium,Gut,1.3,1.31,4.5,6.4,8.5,42.6,37.7,26.2,16.5,59.1,19.4,,97.7,5.53,2.59,0.33,8.4,16.7,95.8,0.245,0.33,1.3
Wilson Ripspin 16,51,Medium,Polyester,1.3,NA,1.5,3,4.2,31.31,36.9,27.1,42.8,74.1,25.1,11.8,236.6,5.78,13.63,0.29,19.6,38.8,91.6,0.082,0.423,5.2
Y-Tex Quadro Twist 16L,51,Medium,Polyester,1.26,NA,2.4,4.5,6.1,26.88,38.5,28.2,40.1,67,23.6,11.1,205.2,8.82,15.02,0.29,24,47.6,90.6,0.069,0.425,6.2
Yonex Poly Tour Pro Yellow 16 (1.30),51,Medium,Polyester,1.3,1.32,2.1,2.7,3.6,28.6,37.7,27.2,38.1,66.8,22.7,,210.3,7.56,14.56,0.24,22.3,44.1,92.2,0.111,0.374,3.4
Yonex Poly Tour 130/16,51,Medium,Polyester,1.3,1.29,NA,2.3,3.5,26.2,37.7,27.9,44.5,70.6,24.6,,232.6,8.71,15.81,0.18,24.7,48.7,88.2,NA,NA,NA
Yonex Poly Tour Spin G 1.25,51,Medium,Polyester,1.25,NA,1.5,2.1,2.7,38.43,35.3,26.4,43.2,81.8,27,13.5,252,4.3,7.99,0.13,12.3,24.5,92.7,0.104,0.497,4.8
Yonex Poly Tour Pro Yellow 16L (1.25),51,Medium,Polyester,1.25,1.25,1.8,3,3.9,27.65,38.3,27.9,38.1,65.9,23,,198.9,7.08,15.99,0.2,23.4,45.9,90.8,NA,NA,NA
Yonex Tournament 80 Spin 15L-16,51,Medium,,1.33,1.41,8.8,10,11.2,40.04,37.2,26.8,29.5,69.7,23.4,,166.9,6.68,4,0.04,10.8,21.1,92.9,NA,0.451,NA
Yonex Tournament 50 16L,51,Medium,Nylon,1.27,NA,8.2,9.4,10.3,40.57,36.8,26.3,30,70.6,23.2,,176.6,5.95,4.2,0.06,10.1,20.1,94.7,NA,NA,NA
